population_rank,state,name,population,requirement,housing_duty,plan_mandate,coverage,assessment_actor,assessment_detail,assessment_method,assessment_local_role,allocation,allocation_authority,allocation_detail,enforcement,key_distinction,timing_note,checked_on,review_status,uncertainties,sources,contents
11,NJ,New Jersey,9548215,required_subset,Municipalities exercising ordinary zoning authority need a housing plan element; municipalities using the statutory fair-share compliance process must adopt the element and fair share plan on the statutory schedule.,"A housing element is a prerequisite to ordinary municipal zoning under the MLUL. The Fair Housing Act provides a housing-element/fair-share-plan process for obtaining protection against exclusionary-zoning suits; participation in that compliance process is voluntary, while the underlying fair-share obligation is not.","No housing-element population cutoff. Statewide fair-share obligations, with qualified urban-aid municipalities exempt from prospective need (not automatically from present need). Urban-aid eligibility requires designated state aid plus deficient-housing ratio above the regional ratio, density above 10,000/square mile, or density above 6,000 but below 10,000 and a statutory vacant-parcel measure below 5%.",state_and_local,"DCA calculates regional low- and moderate-income need and municipal present/prospective obligations. Each municipality determines its own obligation under the same statutory formulas; the dispute-resolution program or courts can adjust the determination. Municipal housing elements also analyze local stock, demographics and capacity.",Sections 52:27D-304.2–304.3 prescribe regional and municipal formulas and relevant datasets. DCA's published calculations are expressly nonbinding; that does not make the statutory formula optional.,"Adopt a binding resolution explaining the municipality's calculation, subject to challenge and program/court resolution, then prepare a housing element and fair-share plan for the resulting obligation. Separate local analysis does not permit unilateral disregard of the statutory fair share.",state_or_regional,"State statutory formula; municipal determination, subject to program/courts","Yes: regional low/moderate-income prospective need is allocated by a statutory average of nonresidential-valuation, income-capacity and land-capacity factors. DCA publishes nonbinding municipal calculations; municipal binding resolutions and the court/dispute process establish obligations. The duty is a realistic opportunity for housing, not municipal construction.",Compliance certification and court/dispute review; missed requirements can remove immunity from exclusionary-zoning litigation. DCA monitors units and trust funds; new monitoring rules took effect in December 2025.,"DCA numbers are guidance, but the statutory regional fair-share formula and enforceable obligation remain. Opting out of the administrative compliance process does not erase the obligation.",,2026-09-20,source_checked,The current NJ legislature statute viewer failed; the MLUL zoning prerequisite is documented by an adopted municipal plan on an official state server. The 2024 Fair Housing Act itself was directly reviewed.,"N.J. P.L.2024, c.2; N.J.S.A.52:27D-304.1–304.3, -310, -310.1, -311, -329.1: https://pub.njleg.state.nj.us/Bills/2024/PL24/2_.HTM | N.J. DCA, 2025–2035 Affordable Housing Calculations: https://nj.gov/dca/dlps/4th_Round_Numbers.shtml | N.J. DCA, Fair Share Plan Preparation and Model Documents: https://www.nj.gov/dca/dlps/hss/planresources.shtml | N.J. DCA, Fair Housing Act Administration: https://nj.gov/dca/dlps/hss/ | Berlin Township, adopted 2023 Master Plan Reexamination, explaining N.J.S.A.40:55D-62: https://www.nj.gov/pinelands/home/hearings/documents/BT%202023%20MP%20Reex%20Report_adopted.pdf","Housing needs (required): Housing-stock inventory and ten-year projection; household demographics and employment. | Income groups (required): Present/prospective low- and moderate-income fair share; very-low-income requirements apply within the affordable program. | Land / sites inventory (required): Consider land suitable for affordable construction and structures for conversion/rehabilitation, including committed developers' land. | Land capacity (required): Assess capacity to accommodate present/prospective need; special redevelopment analysis when claiming a vacant-land adjustment. | Development constraints (required): Evaluate ordinances/local factors affecting multigenerational family continuity. | Action program (required): Realistic-opportunity demonstration, implementing ordinances, prior-round obligations and trust-fund spending plan where applicable. | Monitoring (required): State reporting of affordable units and municipal trust funds."
12,VA,Virginia,8880107,required_statewide,The plan must designate areas and implementation measures for affordable housing sufficient for current and future residents across income levels.,Every local governing body must adopt a comprehensive plan.,"All localities, including cities and towns; no housing-component population cutoff. Population triggers for other topics, such as transit-oriented development, do not narrow this duty.",local,"The local planning commission assesses current and future residents' affordable housing needs through the comprehensive plan, while considering the planning district's needs. The cited law does not prescribe a separate quantified state estimate.","Section 15.2-2223 requires careful study of local conditions/growth and affordable-housing measures sufficient for current and future needs at all income levels. It supplies substantive criteria, without a housing-unit calculation formula in the reviewed section.","Prepare local affordable-housing areas and measures, consider district needs, and adopt the plan locally. Considering the district does not itself create an externally apportioned municipal share.",local_assessment,No external municipal need allocator identified,Local need must be addressed while considering the planning district's needs. The reviewed provisions assign no externally calculated municipal unit share.,Statutory preparation/adoption and five-year review duties. No housing-specific state certification or municipal construction quota is created by the cited provisions.,A functional affordable-housing component is mandatory even though the statute does not call it a separate housing element.,,2026-09-20,source_checked,,"Va. Code §15.2-2223(A), (D): https://law.lis.virginia.gov/vacode/title15.2/chapter22/section15.2-2223/ | Va. Code §15.2-2223.5: https://law.lis.virginia.gov/vacode/title15.2/chapter22/section15.2-2223.5/ | Va. Code §15.2-2230: https://law.lis.virginia.gov/vacode/title15.2/chapter22/section15.2-2230/","Housing needs (required): Current and future local housing need; planning-district context. | Income groups (required): Residents at all income levels. | Preservation (required): Construction, rehabilitation and maintenance of affordable housing. | Action program (required): Designate areas and implementation measures; area designation is not an express parcel inventory. | Other content (required): At plan amendments after July 1, 2021, incorporate strategies promoting manufactured housing as affordable housing. | Monitoring (required): Review the comprehensive plan at least every five years to determine whether to amend."
13,WA,Washington,8001020,required_subset,A mandatory housing element applies to every jurisdiction required or choosing to plan under RCW36.70A.040.,Counties fully planning under the Growth Management Act and every city within them must adopt comprehensive plans; counties can also opt into that system.,"County-based trigger, not city size: county population ≥50,000 with >17% growth over ten years (historically >10% before May16,1995), or >20% growth regardless of size; all its cities follow. Prior qualifying status persists. Opt-in counties are covered, subject to statutory historical withdrawal exceptions; qualifying counties below50,000 may exercise the specified timely opt-out.",state,Washington Commerce supplies countywide housing-need projections by income segment and for emergency and supportive housing. Counties coordinate municipal shares with their cities. Cities still inventory existing housing and analyze their net new needs and capacity.,Commerce provides the housing-need projection model and technical guidance. The model uses a locally selected population projection; county/city allocation must preserve at least the projected countywide need for each economic segment and follow applicable countywide or multicounty policies.,"Counties and cities select the population input, coordinate local shares, and prepare local needs and capacity analyses. City plans use the resulting allocation; cities may plan for more capacity with supporting infrastructure and coordination.",state_or_regional,Counties coordinating with cities and towns,Commerce supplies countywide need projections by income and special housing category. Counties coordinate city/town shares through countywide planning; WAC365-196-410 requires consistent public allocations whose sum covers countywide need. Applicable fully planning municipalities must show sufficient capacity for their assigned need.,GMA compliance includes plan/development-regulation review. The 2025 Housing Accountability Act adds Commerce selected/voluntary housing reviews; noncompliance can restrict denials of affordable/moderate-income projects and eligibility for state funding.,"State projections are allocated through county/city coordination, not a single state formula that directly fixes every city's share. Land-capacity analysis is explicit; no universal California-style parcel schedule is coded from these provisions.",,2026-09-20,source_checked,,"Wash. Rev. Code §36.70A.040(1)–(5): https://app.leg.wa.gov/rcw/default.aspx?cite=36.70A.040 | Wash. Rev. Code §36.70A.070(2): https://app.leg.wa.gov/rcw/default.aspx?cite=36.70A.070 | Wash. Admin. Code365-196-410(2)(c)–(d): https://app.leg.wa.gov/wac/default.aspx?cite=365-196-410 | Commerce, Updating GMA Housing Elements: https://www.commerce.wa.gov/growth-management/housing-planning/housing-guidance/ | Commerce, Housing Accountability Act: https://www.commerce.wa.gov/growth-management/housing-planning/housing-accountability-act/","Housing needs (required): Inventory and analyze existing/projected housing needs, including emergency and supportive housing. | Income groups (required): Moderate, low, very low and extremely low income housing needs. | Land capacity (required): Sufficient land capacity for housing types and incomes; compare zoned capacity to allocation. | Development constraints (required): Identify regulatory barriers, funding gaps and needed actions. | Fair housing (required): Analyze and address racially disparate impacts, exclusion, displacement and displacement risk. | Preservation (required): Goals and mandatory provisions for housing preservation and improvement. | Action program (required): Programs/actions and anti-displacement policies."
14,AZ,Arizona,7623818,required_subset,"Cities of at least 50,000 must include a housing element. Separately, nontribal municipalities of at least 30,000 must publish housing needs assessments and an annual plan to address identified needs.",Each municipality must adopt a comprehensive long-range general plan (§9-461.05(A)).,"Housing element: cities ≥50,000; optional below that threshold. Separate assessment/report: municipalities ≥30,000, excluding municipalities on tribal land; five-year assessments and annual reports began January 1, 2025.",local,"The municipality identifies and analyzes existing and forecast housing needs in its general-plan housing element. Under the separately applicable assessment statute, it publishes five-year population/job projections and estimates additional rental and ownership units needed for existing deficits and growth across incomes.","Sections9-461.05(E)(6) and9-469 prescribe subjects and required inputs, including population, jobs, zoning acreage and housing deficits. They do not supply an external municipal unit calculation. The Arizona Department of Housing compiles local annual reports rather than calculating the controlling local need under these provisions.",The municipality produces the needs assessment and its response plan under the relevant population thresholds. No externally allocated regional number was identified; §9-469(E) expressly says the municipality need not fulfill the projections.,local_assessment,No external allocator identified,"Municipalities estimate additional rental/ownership need using population, jobs, existing deficits and income levels. The reviewed statutes supply no externally assigned municipal share; §9-469(E) expressly disclaims a duty to fulfill projections.",Annual housing reports go to Arizona Department of Housing for compilation and legislative/executive transmission. §9-469(E) does not require actual fulfillment of projected need.,"Two thresholds: 50,000 for the named element, 30,000 for the separate planning/reporting duty. Adequate sites and aggregate zoned acreage do not establish a California-style parcel inventory.",,2026-09-20,source_checked,,"Ariz. Rev. Stat. §9-461.05(A), (E)(6): https://www.azleg.gov/ars/9/00461-05.htm | Ariz. Rev. Stat. §9-469: https://www.azleg.gov/ars/9/00469.htm","Housing needs (required): Existing/forecasted needs in the element; five-year population/jobs and additional-unit needs in the separate assessment. | Income groups (required): Element addresses every economic segment; assessment covers needs across incomes. | Land capacity (required): Housing element requires provision of adequate sites; no express parcel inventory in the cited provisions. | Preservation (required): Standards/programs to eliminate substandard conditions and improve housing quality. | Fair housing (required): Equal provision regardless of race, color, creed or economic level. | Action program (required): Annual report includes a plan for satisfying identified additional-unit needs. | Monitoring (required): Report development applications, approvals and production stages, plus progress. | Other content (required): Separate assessment reports aggregate residentially zoned land by single-family/multifamily; this is not a developable-sites inventory."
15,TN,Tennessee,7315076,encouraged,Housing is expressly optional in the separate countywide growth plan under § 6-58-107(d); subsection (e)(8) states a housing-choice and affordability objective. The municipal general-plan provision does not add a required housing element.,"An established municipal commission has the general-plan duty stated in § 13-4-201. Separately, Chapter 58 requires a countywide growth plan and consistent local land-use decisions.",General municipal planning commissions plus the separate countywide growth-plan framework; no housing-element population cutoff identified. Private/special municipal planning acts may add requirements.,not_required_or_specified,Municipal general planning and countywide growth planning identify no separately required housing-need estimate or housing assessor. The growth plan’s broad future-needs and affordability objectives coexist with expressly optional substantive housing treatment.,Section 13-4-201 prescribes physical-development and service-area analysis. Section 6-58-107 makes a housing topic optional and states housing-choice/affordability goals; neither provision specifies a housing-unit formula or a state-calculated municipal housing total. Existing source-access limitations remain.,Local officials may analyze housing when preparing the optional housing portion of a county growth plan or municipal plan. General growth-boundary planning and adoption do not establish a required housing-demand calculation or external housing-unit allocation.,none_identified,No external allocator identified,Future growth and affordability are planning objectives; the reviewed provisions do not assign state or regional housing-unit shares to municipalities.,Section 6-58-107 requires local land-use decisions to be consistent with an approved growth plan. Neither that section nor § 13-4-201 supplies a housing-element certification or assigned-unit enforcement system.,"Tennessee’s affordability objective should not disappear from a negative coding. The statute expressly makes substantive housing treatment optional, and the TACIR staff report explains that distinction; this is not a finding of no housing-related policy in state law.",,2026-09-20,needs_review,"Current official annotated-code section text was not extracted; a final current official text check should confirm the 2025 mirror before publication as independently validated law. | The growth-plan affordability objective is a policy requirement, while the detailed housing element is optional. This classification uses the latter as the comparable municipal housing-element measure.","Tenn. Code Ann. § 13-4-201 (2025 mirror): https://law.justia.com/codes/tennessee/title-13/chapter-4/part-2/section-13-4-201/ | Tenn. Code Ann. § 6-58-107 (2025 mirror): https://law.justia.com/codes/tennessee/title-6/municipal-government-generally/chapter-58/section-6-58-107/ | TACIR staff, Land Use and Planning in Tennessee (February 2011): https://www.tn.gov/content/dam/tn/tacir/documents/LandUseAndPlanning.pdf | University of Tennessee MTAS, Municipal Planning Commissions: https://www.mtas.tennessee.edu/reference/municipal-planning-commissions",
16,MA,Massachusetts,7154084,required_subset,Section 81D master plans must include a housing element. A separate Chapter 40B Housing Production Plan is an optional route to permit-appeal safe harbor.,"A planning board established under Chapter 41 §81A shall make a master plan, which may cover the city/town or parts the board considers advisable.","Section 81D applies to §81A planning boards. Section 81A permits cities except Boston and towns to establish boards; towns reaching 10,000 inhabitants without a planning board must establish one. A town below 10,000 may authorize selectmen to act as the planning board. Boston is outside this general-law framework.",local,The §81A planning board identifies and analyzes existing and forecast housing needs in its §81D master plan. Separate MBTA zoning and Chapter 40B HPP stock-based benchmarks do not make the state the assessor of the master plan's housing need.,"Section 81D(3) specifies needs analysis, objectives and housing programs but no numerical state need-allocation formula. HPP production benchmarks use existing housing stock; MBTA district requirements are a separate zoning mechanism.","Develop and adopt the master-plan housing analysis locally. Cities may pursue the separate HPP process and covered communities must meet applicable MBTA zoning duties, but neither is an assigned share of regional master-plan housing need.",capacity_target,No regional-need allocator identified; separate state zoning/HPP benchmarks,"The master-plan housing assessment is local. Separate MBTA Communities law requires qualifying as-of-right multifamily districts; Chapter 40B HPP certification uses a 0.5% annual subsidized-housing benchmark based on existing stock. These are zoning/production benchmarks, not an assignment of regional housing need to every municipality.",Section 81D requires public-record plans and submission to the state housing office but sets no fixed adoption deadline. HPP safe harbor requires state approval and certification of production; MBTA noncompliance affects specified state funding.,"Do not equate the master-plan housing element, optional 40B HPP, or mandatory MBTA multifamily zoning. They are distinct legal mechanisms.",,2026-09-20,source_checked,,"Mass. Gen. Laws ch.41, §81A: https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter41/Section81A | Mass. Gen. Laws ch.41, §81D: https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter41/Section81D | Mass. Gen. Laws ch.40A, §3A: https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter40A/Section3A | Massachusetts EOHLC, Chapter 40B Housing Production Plan (760 CMR 56.03(4)): https://www.mass.gov/info-details/chapter-40b-housing-production-plan","Housing needs (required): Identify/analyze existing and forecast housing needs and objectives. | Preservation (required): Programs to preserve, improve and develop housing. | Action program (required): Policies for balanced local housing opportunities; schedule actions and regulatory changes needed to implement the plan."
17,IN,Indiana,6973333,no_explicit_requirement,No express housing element in the reviewed general-plan requirements. HEA1001 (2026) separately requires a housing-oriented review of development regulations and housing reports; those duties are not a forward-looking housing-needs plan.,A plan commission prepares a comprehensive plan under §36-7-4-501. A locality exercising planning/zoning powers uses this statutory framework; no zoning ordinance may be adopted before a comprehensive plan is approved.,"General local planning framework; no housing-element population cutoff because no express element was found. New regulatory review covers counties, cities and towns. Housing-progress reporting applies to units exercising planning/zoning; housing-status reporting covers all counties, cities and towns.",not_required_or_specified,The reviewed general-plan provisions do not require a housing-needs estimate. HEA1001 requires review of housing regulations and reports on past housing outcomes; neither creates a required forward-looking housing-needs assessor.,"HEA1001 prescribes regulatory-review factors and reporting fields. It requires copies of specified preexisting housing studies where available, rather than commissioning a new needs calculation. IHCDA compiles reported outcomes and regional comparisons.","Undertake the required regulatory review and report local outcomes beginning around January 2027. Optional existing local/regional studies may inform that work, but no externally assigned need total must be accommodated under the reviewed provisions.",none_identified,No external municipal need allocator identified,Neither the reviewed general-plan provisions nor 2026 HEA1001 assigns municipalities quantified regional housing need. New state reporting compiles outcomes and regional comparisons; it does not distribute a building obligation.,"A comprehensive plan is a zoning prerequisite. HEA1001 requires a public regulatory-review hearing and report by January 1, 2027, plus annual housing reports beginning 2027. IHCDA's September 2026 guidance implements the one-time report by December 31, 2026 and annual reporting by January 31. These are adjacent review/reporting duties, not housing-element certification.","No express housing element does not mean no housing duties: HEA1001 mandates review of density, housing types, approvals and other housing reforms, and reports on local housing outcomes. It does not require adopting every reform or a California-style allocation.",Separate housing review/report due around January 2027; no housing element identified.,2026-09-20,needs_review,"Official current IGA code and enrolled-PDF endpoints returned an application shell. General statutory text was checked through a 2025 official municipal reproduction and 2025 mirrors, with HEA1001/SEA285 separately checked against enrolled text and official enactment status. A direct current-code verification remains desirable. | The classification excludes one-time regulatory review and backward-looking housing data reports from the definition of a housing element/equivalent needs plan. Those mandatory adjacent duties are described explicitly.","Ind. Code §§36-7-4-501–503, reproduced in New Harmony Comprehensive Plan: https://www.in.gov/towns/newharmony/files/New-Harmony-Comprehensive-Plan-compressed.pdf | Ind. Code §36-7-4-502 (2025 mirror): https://law.justia.com/codes/indiana/title-36/article-7/chapter-4/section-36-7-4-502/ | Ind. Code §36-7-4-201 (2025 mirror): https://law.justia.com/codes/indiana/title-36/article-7/chapter-4/section-36-7-4-201/ | Ind. Code §36-7-4-601(a) (2025 mirror): https://law.justia.com/codes/indiana/title-36/article-7/chapter-4/section-36-7-4-601/ | Indiana HEA1001 (2026), §§2–3,19,25: https://billtexts.s3.amazonaws.com/_data/in/https-iga-in-gov-pdf-documents-124-2026-house-bills-HB1001-HB1001-06-ENRS-pdf.pdf | Indiana Governor, 2026 Bill Watch: https://www.in.gov/gov/newsroom/2026-bill-watch/ | IHCDA RED Notice 26-43, House Enrolled Act 1001 Reporting: https://www.in.gov/ihcda/files/RED-Notice-26-43-House-Enrolled-Act-1001-Reporting.pdf | Indiana SEA285 (2026), §§1–5: https://legiscan.com/IN/text/SB0285/id/3378088/Indiana-2026-SB0285-Enrolled.pdf",
18,MO,Missouri,6270541,no_explicit_requirement,No express housing-element requirement in the reviewed city-plan provisions. Blighted-area replanning is an optional listed subject.,Municipalities may undertake city planning and appoint a commission; an appointed statutory commission shall make/adopt the city plan.,General municipal authorization in §§ 89.310–.340; no housing-specific population cutoff or mandatory municipal housing-plan class appears there.,not_required_or_specified,Section 89.340 directs a municipal commission to prepare the city plan but does not require a housing-need estimate or designate a housing assessor.,"Physical-development and land-use recommendations, optional blight replanning and optional zoning plans do not provide a housing-need formula or state-calculated total.",The commission prepares general recommendations and may address additional local subjects. The reviewed municipal provisions do not require a housing-needs calculation or accommodation of external municipal housing shares.,none_identified,No external allocator identified,Section 89.340 supplies physical-development and optional zoning-plan authority; it creates neither a municipal fair-share calculation nor a regional allocation of needed units.,No state housing-element review or housing allocation enforcement appears in the reviewed sections. The plan is a commission recommendation for physical development.,"Do not treat optional blight/slum replanning, or an introduced bill proposing a housing element, as an enacted citywide housing-needs duty.",,2026-09-20,source_checked,,Mo. Rev. Stat. § 89.310: https://revisor.mo.gov/main/OneSection.aspx?section=89.310 | Mo. Rev. Stat. § 89.340: https://revisor.mo.gov/main/OneSection.aspx?section=89.340,
19,MD,Maryland,6265347,required_statewide,"Housing element mandatory. As of the check date, it must address affordable housing need, including workforce and low-income housing, and applicable fair-housing assessment.",Local jurisdictions must adopt and execute a comprehensive plan; a municipality may participate in an approved county plan.,Municipal corporations and counties; no population cutoff. Municipal participation in a county plan is allowed by mutual resolutions. Charter counties have parallel housing-element duties.,local,"The local jurisdiction's planning process addresses its affordable housing need, including workforce and low-income housing. This is a local assessment duty; the operative provisions do not require a state-calculated numerical need total for each municipality.","Operative §§3-114 and 1-407.1 specify income categories and fair-housing assessment, with state technical assistance on request. The October 1, 2026 replacement adds state-plan and data inputs; those inputs do not transfer the local housing-needs assessment to the state.","Prepare and adopt the local housing element, or participate in the approved county plan where permitted, assessing local affordable need and fair housing. No externally assigned municipal number is identified.",local_assessment,No external municipal need allocator identified,Housing need is assessed within the local jurisdiction. Neither the operative housing provision nor the enacted October 2026 replacement establishes municipal numerical shares of regional housing need.,Mandatory plan content; state technical assistance. The fair-housing subsection expressly does not prescribe or prohibit a specific local action.,"HB243/Chapter 110 is enacted but takes effect October 1, 2026. Do not apply its expanded site/supply requirements before that date.",,2026-09-20,source_checked,,"Md. Code, Land Use §3-101: https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=glu&enactments=false&section=3-101 | Md. Code, Land Use §3-102(a)(1)(iv): https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=glu&enactments=false&section=3-102 | Md. Code, Land Use §3-114: https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=glu&enactments=false&section=3-114 | Maryland Department of Planning, Housing Planning: https://planning.maryland.gov/Pages/OurWork/PBP/housing-element-mg/housing-planning.aspx | 2026 Md. Laws ch.110 (HB243), new Land Use §3-105 and effective-date clause: https://mgaleg.maryland.gov/2026RS/Chapters_noln/CH_110_hb0243t.pdf | Maryland General Assembly, HB243 (2026) status: https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0243?ys=2026RS | Md. Code, Land Use §1-407.1: https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=glu&enactments=false&section=1-407.1","Housing needs (required): Address the jurisdiction's affordable housing need. | Income groups (required): Workforce and low-income housing; low-income defined as below 60% of area median income. | Fair housing (required): Fair-housing assessment at plan enactment/amendment from January 1, 2023 under §3-114; January 1, 2025 for charter counties under §1-407.1. | Other content (conditional): ENACTED FUTURE: October 1, 2026 replacement §3-105 adds housing stock characteristics, adequate supply for current/future residents, substandard conditions and adequate future housing sites; not an express parcel inventory."
20,CO,Colorado,6012561,required_subset,"Covered local governments must complete a housing-needs assessment by December 31, 2026 and a narrower subset must adopt a responsive housing action plan by January 1, 2028; both repeat at least every six years.","The housing-needs assessment and housing action plan are separate statutory planning duties under Title24, part37, linked to the territory covered by local master plans.","Assessment: local governments with population at least 1,000, excluding those whose most recent decennial census population fell at least 1%, unless they receive DOLA assessment funding; a timely regional assessment substitutes. Action plan: population at least 5,000, or at least 1,000 if participating in a regional assessment or qualifying as a rural resort community as of January 1, 2024; the same 1% decline exemption applies. Population is measured two years before the relevant deadline; counties count only unincorporated population. Rural-resort communities include municipalities in counties so classified by the state. Qualifying early-2024 plans receive a five-year transition.",local_or_regional,"The local government conducts a local housing-needs assessment, or a regional entity conducts a substituting regional assessment that estimates need and municipal allocations. DOLA separately must conduct a statewide assessment by November 30, 2027; that state research does not turn all local assessments into state-assigned need.","DOLA’s executive director develops the required assessment methodologies, data standards and displacement guidance under§3702. Local and regional assessors apply them; DOLA checks conformity. Regional methodology includes jobs-based municipal allocations, while local methodology incorporates applicable state/regional needs as appropriate.",A locality conducts and publicly considers its own assessment or participates in and comments on a regional assessment. The responsive action plan explains how any applicable regional allocation is addressed. Regional participation remains optional; first assessment and plan deadlines are separately stated.,regional_subset,"Regional assessment entity, where that optional pathway is used","Optional regional assessments estimate a municipal allocation of regional housing need based on jobs and dependence on regional employment, among other factors. A local action plan must explain how it addresses any applicable regional allocation. Outside that pathway, the locality assesses its own need under state methodology and incorporates applicable state/regional needs as appropriate. This is a conditional regional planning allocation, not a statewide RHNA schedule or a construction quota.","DOLA must reject assessments or plans lacking statutory components and reviews three-year implementation reports. Starting December 1, 2027 specified land-use/housing grant programs prioritize compliant jurisdictions, treating exempt jurisdictions as compliant. The provisions require planning and strategy review, not completion of an assigned construction count.","Colorado is more than a zoning-strategy menu: participating regional assessments estimate municipal need allocations. That pathway is optional, while the size-based assessment and action-plan duties have approaching statutory deadlines.","Enacted duties: assessments due December 31, 2026; action plans due January 1, 2028. Regional participation is optional; municipal regional allocations apply where that assessment pathway is used.",2026-09-20,source_checked,,"Colo. Rev. Stat. §§24-32-3702–3706, 24-32-3710 (2026): https://olls.info/crs/crs2026-title-24.htm | Colo. Rev. Stat. §§29-32-101(10), 29-4-1107(1)(d): https://olls.info/crs/crs2026-title-29.htm","Housing needs (required): Estimate housing stock and need, households, jobs by pay, displacement risk, with consideration of shortages/surpluses, vacancy, homelessness, job–housing balance and state demographic projections. | Income groups (required): Sort need by income and dwelling type, including accessible, supportive, ownership and rental housing. Baseline categories include extremely low, very low, low, moderate and middle income. | Land capacity (required): Action plans assess existing zoning/density effects on the number and type of needed homes and opportunities for higher-density affordable housing near major transit. | Development constraints (required): Assess housing-market limitations and zoning/density effects; action plans identify recommended local-law changes. | Preservation (required): Action plans choose goals and strategies for production and preservation of affordable and regulated affordable housing. | Action program (required): Action plans select at least two standard affordability strategies, one long-term strategy and a suitable displacement strategy; include a plan for legislative consideration and an inclusive engagement process. | Monitoring (required): Plan includes available six-year construction/permitting history. Three years after adoption report actual strategy/law adoption or a good-faith effort with alternatives; repeat assessment and plan at least every six years. | Other content (required): Analyze areas or communities at elevated displacement risk and plan mitigation. These obligations do not expressly require a parcel-by-parcel available-land inventory."
21,WI,Wisconsin,5972787,required_subset,"The comprehensive plan must include a housing element addressing existing and forecast demand, housing stock and policies for housing choice, lower-income land availability and preservation.","A comprehensive plan is required for local governments enacting or amending the listed zoning, subdivision or official-mapping ordinances. City plan commissions have a master-plan function; the nine-element requirement is linked to these regulatory actions. A voluntarily adopted comprehensive plan also must contain all nine elements.","Cities, villages and towns using the land-use regulatory powers listed in §66.1001(3), with no population cutoff. The consistency requirement began January 1, 2010; §(3m) preserves historic grant-related extensions, including the now-expired January 1, 2012 exception and extensions lasting until their grant deadline.",local,"The local government assesses existing and forecast housing demand and the age, condition, value and occupancy of its own housing stock for the comprehensive-plan housing element.","Section66.1001 prescribes housing and demographic subjects, income/age/special-needs coverage and plan horizons, rather than a state-calculated municipal need formula. The reviewed provisions do not designate a state or regional body to supply a controlling local housing-unit need.",The locality uses its forecasts and stock analysis to adopt housing policies and programs within the comprehensive-plan framework. No external municipal allocation was identified; a regional planning commission’s comprehensive plan is expressly advisory.,local_assessment,No external allocator identified,The element addresses the locality's existing and forecast housing demand. No externally assigned municipal housing-unit need appears in the reviewed provisions; regional comprehensive plans are expressly advisory to local governments under §66.1001(5).,"Listed regulatory enactments and amendments must be consistent with the comprehensive plan; plan adoption requires all nine elements, public participation and a hearing. No state housing-element certification or municipal unit allocation was found in these provisions.","The duty is tied to comprehensive planning and specified land-use powers, not a population-based universal housing quota. Enacted 2025 Act 173 changes city/village residential land and density planning and consistency rules beginning January 1, 2028; those future provisions are not treated as current inventory requirements.",,2026-09-20,source_checked,,Wis. Stat. §66.1001(1)–(3): https://docs.legis.wisconsin.gov/document/statutes/66.1001 | Wis. Stat. §66.1001(3m)–(5): https://docs.legis.wisconsin.gov/statutes/statutes/66/x/1001/3m | Wis. Stat. §62.23(2)–(3): https://docs.legis.wisconsin.gov/document/statutes/62.23,"Housing needs (required): Assess existing and forecast housing demand and stock age, structure, value and occupancy. | Income groups (required): Policies and programs must serve all income levels and age groups and persons with special needs. | Preservation (required): Policies and programs to maintain or rehabilitate existing housing stock. | Action program (required): Identify housing programs, including policies promoting land availability for low- and moderate-income development or redevelopment; the plan's implementation element sequences actions. | Monitoring (required): The implementation element must describe how progress will be measured; update the comprehensive plan at least once every ten years. | Other content (required): The separate land-use element assesses land supply, demand, density and redevelopment, with 20-year projections in five-year increments and land-use maps. This is not coded as a suitable-parcel housing inventory."
